product_name,slug,currency,retail_amount,stripe_unit_amount
"Covent Garden Signature Set",covent-garden-signature-set,MAD,8290,829000
"Covent Garden Signature Set",covent-garden-signature-set,NGN,1219000,50000000
"Covent Garden Signature Set",covent-garden-signature-set,IDR,15790000,50000000
"Covent Garden Signature Set",covent-garden-signature-set,KZT,419000,41900000
"Covent Garden Signature Set",covent-garden-signature-set,AZN,1499,149900
"Covent Garden Signature Set",covent-garden-signature-set,UZS,10450000,50000000
"Covent Garden Signature Set",covent-garden-signature-set,HKD,6898,689800
"Soho Set",soho-set,AED,1499,149900
"Soho Set",soho-set,SAR,1545,154500
"Soho Set",soho-set,QAR,1499,149900
"Soho Set",soho-set,OMR,159,159000
"Soho Set",soho-set,BHD,159,159000
"Soho Set",soho-set,KWD,129,129000
"Soho Set",soho-set,GBP,299,29900
"Soho Set",soho-set,EUR,379,37900
"Soho Set",soho-set,USD,449,44900
"Soho Set",soho-set,CHF,349,34900
"Soho Set",soho-set,RUB,31900,3190000
"Soho Set",soho-set,CNY,2998,299800
"Soho Set",soho-set,CAD,599,59900
"Soho Set",soho-set,SGD,529,52900
"Soho Set",soho-set,BND,529,52900
"Soho Set",soho-set,MYR,1695,169500
"Soho Set",soho-set,MAD,3890,389000
"Soho Set",soho-set,NGN,569000,50000000
"Soho Set",soho-set,IDR,7395000,50000000
"Soho Set",soho-set,KZT,199000,19900000
"Soho Set",soho-set,AZN,709,70900
"Soho Set",soho-set,UZS,4895000,50000000
"Soho Set",soho-set,HKD,3298,329800
